"SAMPLE"	"LEVEL"	"CATEGORY"	"TOTAL_READS"	"PF_READS"	"PCT_PF_READS"	"PF_NOISE_READS"	"PF_READS_ALIGNED"	"PCT_PF_READS_ALIGNED"	"PF_ALIGNED_BASES"	"PF_HQ_ALIGNED_READS"	"PF_HQ_ALIGNED_BASES"	"PF_HQ_ALIGNED_Q20_BASES"	"PF_HQ_MEDIAN_MISMATCHES"	"PF_MISMATCH_RATE"	"PF_HQ_ERROR_RATE"	"PF_INDEL_RATE"	"MEAN_READ_LENGTH"	"READS_ALIGNED_IN_PAIRS"	"PCT_READS_ALIGNED_IN_PAIRS"	"BAD_CYCLES"	"STRAND_BALANCE"	"PCT_CHIMERAS"	"PCT_ADAPTER"	"LIBRARY"	"READ_GROUP"
"T1_recurrance"	"ALL_READS"	"PAIR"	101320434	101320434	1	0	100511387	0.992015	7549145021	84239262	6340270862	5740954764	0	0.006943	0.006758	0.000106	76.78924	100201540	0.996917	0	0.500088	0.060688	3e-06	""	""
"T9_normal"	"ALL_READS"	"PAIR"	131073296	131073296	1	0	129949085	0.991423	10015074315	109538448	8461089947	7831768137	0	0.005343	0.005124	9.7e-05	77.925921	129511514	0.996633	0	0.500075	0.018378	2e-06	""	""
"T9_primary"	"ALL_READS"	"PAIR"	148878334	148878334	1	0	147457421	0.990456	11197274020	126505053	9621236568	8711814401	0	0.00645	0.006308	9.3e-05	77.557327	146850754	0.995886	0	0.500092	0.061093	2e-06	""	""
"T11_normal"	"ALL_READS"	"PAIR"	112375438	112375438	1	0	109730841	0.976466	8351089225	90936904	6987879017	6449769776	0	0.005501	0.005277	9.6e-05	77.759711	109324032	0.996293	0	0.500099	0.01492	2e-06	""	""
"T11_primary"	"ALL_READS"	"PAIR"	236263216	236263216	1	0	234736251	0.993537	17477189023	195579137	14592593512	13621855924	0	0.005243	0.00506	1e-04	77.066346	233859488	0.996265	0	0.500153	0.094585	2e-06	""	""
"T12_recurrance"	"ALL_READS"	"PAIR"	238369706	238369706	1	0	236826460	0.993526	17761281712	196170765	14749968777	13374874609	0	0.00628	0.006057	0.000108	76.862741	236107300	0.996963	0	0.500139	0.066375	3e-06	""	""
"T13_normal"	"ALL_READS"	"PAIR"	100480030	100480030	1	0	98786179	0.983142	7469731357	81999703	6229935695	5758043045	0	0.005492	0.005268	9.6e-05	76.943473	98411548	0.996208	0	0.500077	0.024938	2e-06	""	""
"T13_primary"	"ALL_READS"	"PAIR"	256398116	256398116	1	0	254867479	0.99403	19082005006	211667368	15882736237	14883382833	0	0.005106	0.004904	0.000104	76.907136	254158718	0.997219	0	0.500097	0.073865	2e-06	""	""
"T14_primary"	"ALL_READS"	"PAIR"	280689588	280689588	1	0	278160520	0.99099	21038247170	233025843	17657063559	16498138961	0	0.004989	0.004821	8.9e-05	77.683441	277392154	0.997238	0	0.500084	0.073846	4e-06	""	""
"T15_recurrance"	"ALL_READS"	"PAIR"	269170216	269170216	1	0	267460868	0.99365	20220833982	224756229	17021137075	15944075335	0	0.004942	0.004775	9.8e-05	77.248105	266744874	0.997323	0	0.500084	0.065542	2e-06	""	""
"T16_normal"	"ALL_READS"	"PAIR"	135860598	135860598	1	0	134151540	0.987421	10352180720	113058191	8745623904	8007169718	0	0.005711	0.005489	8.7e-05	78.078569	133664296	0.996368	0	0.500076	0.01838	2e-06	""	""
"T16_primary"	"ALL_READS"	"PAIR"	196405394	196405394	1	0	194888014	0.992274	14651814658	165174703	12439615432	11619338984	0	0.004874	0.004714	1e-04	76.927498	194386328	0.997426	0	0.500079	0.071233	3e-06	""	""
"T17_normal"	"ALL_READS"	"PAIR"	130074304	130074304	1	0	128616444	0.988792	9869804253	107942400	8303907462	7635446542	0	0.005451	0.005252	8.3e-05	77.692991	128154200	0.996406	0	0.50007	0.025358	2e-06	""	""
