"X"	"total"	"mean"	"granular_third_quartile"	"granular_median"	"granular_first_quartile"	"percent_bases_above_15"
"T1_recurrance"	4056242186	52.4	81	50	13	72.7
"T9_normal"	6366009945	82.23	123	69	24	81.9
"T9_primary"	7151469580	92.38	139	79	23	80.3
"T11_normal"	5152378358	66.56	100	53	19	78.4
"T11_primary"	8491328397	109.69	169	94	26	81.6
"T12_recurrance"	8876916823	114.67	170	88	23	79.9
"T13_normal"	4628022570	59.78	89	48	14	73.9
"T13_primary"	9901749891	127.91	194	99	26	81.7
"T14_primary"	9812784708	126.76	193	107	34	86.9
"T15_recurrance"	11209339235	144.8	220	126	34	85.5
"T16_normal"	6690884444	86.43	129	67	24	82.1
"T16_primary"	7442974131	96.15	146	87	24	81.2
"T17_normal"	6679135533	86.28	127	63	20	78.5
"T17_primary"	9622575934	124.3	186	108	33	86
"T2_normal"	11894561522	153.65	235	136	36	85.9
"T2_primary"	5951928157	76.89	114	61	18	77
"T4_normal"	6694734135	86.48	126	62	18	76.9
"T4_primary"	5157377756	66.62	101	56	15	74.8
"T10_normal"	6548239028	84.59	126	67	24	82.1
"T10_primary"	5334956402	68.92	103	59	17	76.7
"T5_recurrance"	5908014054	76.32	113	62	18	77.5
"T6_normal"	6256760428	80.82	122	66	20	78.8
"T6_primary"	7522487464	97.17	146	80	21	79.3
"T7_normal"	5559326737	71.81	108	62	20	79
"T7_recurrance"	5108262989	65.99	102	57	12	72
"T8_primary"	5058020964	65.34	99	59	20	78.9
