"ONTOLOGY"	"TERM"	"N"	"DE"	"P.DE"	"FDR"
"GO:0006955"	"BP"	"immune response"	1909	103	4.21648025697869e-17	9.58026479188128e-13
"GO:0002376"	"BP"	"immune system process"	2863	124	1.00133492442429e-11	1.13756654089222e-07
"GO:0050776"	"BP"	"regulation of immune response"	872	54	2.57877152765428e-11	1.95307559599443e-07
"GO:0002252"	"BP"	"immune effector process"	1150	64	3.82535516394931e-11	2.17289736700231e-07
"GO:0045321"	"BP"	"leukocyte activation"	1209	68	5.09679152034185e-11	2.31608400267375e-07
"GO:0001775"	"BP"	"cell activation"	1370	74	9.11518368710019e-11	3.45176814257673e-07
"GO:0002366"	"BP"	"leukocyte activation involved in immune response"	690	42	9.06723374887685e-09	2.94309454297473e-05
"GO:0002263"	"BP"	"cell activation involved in immune response"	694	42	1.11848868008769e-08	3.17664766253405e-05
"GO:0002682"	"BP"	"regulation of immune system process"	1471	70	1.28086259496803e-08	3.23360878002984e-05
"GO:0006952"	"BP"	"defense response"	1623	70	3.64691796955033e-08	8.28616231861529e-05
"GO:0002684"	"BP"	"positive regulation of immune system process"	960	51	5.34420883238672e-08	0.000110387062618781
"GO:0002274"	"BP"	"myeloid leukocyte activation"	651	39	6.31064786478009e-08	0.00011948685844639
"GO:0001816"	"BP"	"cytokine production"	833	44	1.79234041565524e-07	0.000239555466375395
"GO:0002250"	"BP"	"adaptive immune response"	394	28	1.56517334247138e-07	0.000239555466375395
"GO:0002764"	"BP"	"immune response-regulating signaling pathway"	386	29	1.79236958249272e-07	0.000239555466375395
"GO:0002768"	"BP"	"immune response-regulating cell surface receptor signaling pathway"	383	29	1.62069452721437e-07	0.000239555466375395
"GO:0046649"	"BP"	"lymphocyte activation"	662	41	1.64022117405568e-07	0.000239555466375395
"GO:0002443"	"BP"	"leukocyte mediated immunity"	763	41	2.45109750277767e-07	0.000309396590892286
"GO:0002275"	"BP"	"myeloid cell activation involved in immune response"	540	33	2.96812458714721e-07	0.000354940835497747
"GO:0002429"	"BP"	"immune response-activating cell surface receptor signaling pathway"	353	27	3.74027953252748e-07	0.000369490831558943
"GO:0002697"	"BP"	"regulation of immune effector process"	395	27	3.36500687743138e-07	0.000369490831558943
"GO:0002757"	"BP"	"immune response-activating signal transduction"	353	27	3.74027953252748e-07	0.000369490831558943
"GO:0050778"	"BP"	"positive regulation of immune response"	631	37	3.44651773812612e-07	0.000369490831558943
"GO:0050851"	"BP"	"antigen receptor-mediated signaling pathway"	242	21	8.91307481848708e-07	0.000843808220628521
"GO:0050853"	"BP"	"B cell receptor signaling pathway"	61	11	9.72964286916532e-07	0.000884268862521221
"GO:0002253"	"BP"	"activation of immune response"	437	28	3.44853747131686e-06	0.00301362384176117
"GO:0043299"	"BP"	"leukocyte degranulation"	526	30	4.48527061105258e-06	0.00377443827976761
"GO:0002699"	"BP"	"positive regulation of immune effector process"	216	17	8.02839493088709e-06	0.00651475575802449
"GO:0002444"	"BP"	"myeloid leukocyte mediated immunity"	545	30	8.88989953161252e-06	0.00696508300888856
"GO:0006954"	"BP"	"inflammatory response"	775	37	9.82816584831696e-06	0.00744352520798698
"GO:0036230"	"BP"	"granulocyte activation"	499	28	1.0609744551561e-05	0.00753325018612553
"GO:0071944"	"CC"	"cell periphery"	5257	176	1.04391880996127e-05	0.00753325018612553
"GO:0007229"	"BP"	"integrin-mediated signaling pathway"	108	13	1.19586359354934e-05	0.00823370203304075
"GO:0002683"	"BP"	"negative regulation of immune system process"	449	27	1.37959062951731e-05	0.00899348952751584
"GO:0005886"	"CC"	"plasma membrane"	5146	172	1.385379752049e-05	0.00899348952751584
"GO:0002703"	"BP"	"regulation of leukocyte mediated immunity"	203	16	1.47872928242321e-05	0.00933283556276046
"GO:0002221"	"BP"	"pattern recognition receptor signaling pathway"	197	16	1.71107570631566e-05	0.00938560492276066
"GO:0002283"	"BP"	"neutrophil activation involved in immune response"	481	27	1.67295257824109e-05	0.00938560492276066
"GO:0032675"	"BP"	"regulation of interleukin-6 production"	153	13	1.70996064582811e-05	0.00938560492276066
"GO:0043312"	"BP"	"neutrophil degranulation"	478	27	1.56263657085448e-05	0.00938560492276066
"GO:0050867"	"BP"	"positive regulation of cell activation"	340	23	1.73493863278882e-05	0.00938560492276066
"GO:0098552"	"CC"	"side of membrane"	528	31	1.71493385488217e-05	0.00938560492276066
"GO:0050900"	"BP"	"leukocyte migration"	438	26	2.06989936861822e-05	0.0109372519893894
"GO:0002695"	"BP"	"negative regulation of leukocyte activation"	177	15	2.24978863123844e-05	0.0114711859879278
"GO:0007159"	"BP"	"leukocyte cell-cell adhesion"	354	23	2.27192187604749e-05	0.0114711859879278
"GO:0042119"	"BP"	"neutrophil activation"	492	27	2.42761707241469e-05	0.0119908451092031
"GO:0002446"	"BP"	"neutrophil mediated immunity"	492	27	2.60012211230348e-05	0.0124253064114651
"GO:0042110"	"BP"	"T cell activation"	460	28	2.62494920008064e-05	0.0124253064114651
"GO:0007155"	"BP"	"cell adhesion"	1445	67	2.74885319891361e-05	0.0127462639862278
"GO:0022610"	"BP"	"biological adhesion"	1452	67	3.15333919604167e-05	0.0143294039746525
"GO:0031410"	"CC"	"cytoplasmic vesicle"	2357	90	3.44322389357862e-05	0.0150884026781701
"GO:0032635"	"BP"	"interleukin-6 production"	164	13	3.45317961033776e-05	0.0150884026781701
"GO:0097708"	"CC"	"intracellular vesicle"	2361	90	3.64532089106551e-05	0.0156274218803584
"GO:0098609"	"BP"	"cell-cell adhesion"	867	45	3.73241251629925e-05	0.0157044712560806
"GO:0050865"	"BP"	"regulation of cell activation"	563	31	4.18504472224869e-05	0.0172888002062205
"GO:0098542"	"BP"	"defense response to other organism"	1031	43	4.33795259082073e-05	0.0176004680028639
"GO:0002694"	"BP"	"regulation of leukocyte activation"	518	29	4.55785492171997e-05	0.0181682494169122
"GO:0051707"	"BP"	"response to other organism"	1381	54	5.84183009803488e-05	0.0228848658030087
"GO:0043207"	"BP"	"response to external biotic stimulus"	1383	54	6.04634232265831e-05	0.0232845667649355
"GO:0009607"	"BP"	"response to biotic stimulus"	1415	55	6.15063186547767e-05	0.023291417769253
"GO:0038093"	"BP"	"Fc receptor signaling pathway"	176	15	6.62255205575313e-05	0.0246673779112733
"GO:0002520"	"BP"	"immune system development"	993	47	9.01294820918504e-05	0.0325052692477609
"GO:0002696"	"BP"	"positive regulation of leukocyte activation"	325	21	8.87285413011758e-05	0.0325052692477609
"GO:0032729"	"BP"	"positive regulation of interferon-gamma production"	64	8	9.51809946906786e-05	0.0337907403182329
"GO:0031982"	"CC"	"vesicle"	3896	129	0.000109164778434519	0.0379205514856241
"GO:1903039"	"BP"	"positive regulation of leukocyte cell-cell adhesion"	231	17	0.000110151683378865	0.0379205514856241
"GO:0048534"	"BP"	"hematopoietic or lymphoid organ development"	941	45	0.000116585840237249	0.0395365205377692
"GO:0006909"	"BP"	"phagocytosis"	267	19	0.000118617039898376	0.0396337906401619
"GO:0002371"	"BP"	"dendritic cell cytokine production"	13	4	0.000125233390427682	0.0412380849841647
"GO:0060368"	"BP"	"regulation of Fc receptor mediated stimulatory signaling pathway"	11	4	0.000132581053041499	0.043033915802227
"GO:1903037"	"BP"	"regulation of leukocyte cell-cell adhesion"	319	20	0.000135161174700637	0.0432534795827206
"GO:0034138"	"BP"	"toll-like receptor 3 signaling pathway"	20	5	0.000139697231622033	0.0440841777733919
"GO:0050544"	"MF"	"arachidonic acid binding"	6	3	0.000144961881218979	0.0451188890846085
"GO:0001817"	"BP"	"regulation of cytokine production"	767	34	0.000160703647821944	0.0486846344288317
"GO:0050866"	"BP"	"negative regulation of cell activation"	200	15	0.000159511929333901	0.0486846344288317
